"q_index10","question","gold_answer","predicted_answer","language","llm","embedding","top_k","latency_total_ms","latency_retrieval_ms","latency_generation_ms","prompt_tokens","completion_tokens","total_tokens","tokens_per_sec","gold_score_0_10","gold_feedback","factual_consistency_0_10","hallucination_rate_0_1","groundedness_pred_0_1","retrieval_support_gold_0_1","groundedness_mode_pred","retrieval_support_mode_gold","groundedness_requested","source_file"
"1","Who is Lisa’s idol?","Bleeding Gums Murphy","It is not specified in the context who Lisa’s idol is.","en","deepseek-r1","all-minilm","3","26134.78","29.01","26105.76","264","153","417","10.073700509752948","0.5","The system answer does not provide a specific idol, but it could have been inferred from the context. The gold answer is Bleeding Gums Murphy.","7.05","0.295","0.705","0.781","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"2","What instrument does Lisa play?","Saxophone","Lisa plays the saxophone as shown with Bleeding Gums Murphy in ""Moaning Lisa"".","en","deepseek-r1","all-minilm","3","39482.91","2047.21","37435.68","261","253","514","9.53228240058016","9.5","The system answer is mostly correct, but it would be better to simply state the instrument Lisa plays (saxophone) without additional details.","8.9","0.11","0.89","0.617","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"3","What is the name of Bart’s dog?","Santa’s Little Helper","The provided context does not contain information about Bart Simpson having a dog.","en","deepseek-r1","all-minilm","3","32228.82","2065.13","30163.68","273","189","462","9.817223963114415","0.0","The provided context does not contain information about Bart Simpson having a dog.","6.88","0.312","0.688","0.603","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"4","What is Homer Simpson’s job?","Safety inspector at the nuclear plant","Homer Simpson's job is a nuclear safety inspector according to the provided context.","en","deepseek-r1","all-minilm","3","27852.59","2057.94","25794.64","269","145","414","9.733825912362915","7.5","While you correctly identify Homer Simpson's job as a safety inspector, the nuance of 'nuclear plant' is missing from your answer.","8.07","0.193","0.807","0.652","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"5","In which episode is Homer mistaken for Bigfoot?","The Call of the Simpsons (S01E07)","In The Call of the Simpsons (Season 1, Episode 7), Homer is mistaken for Bigfoot during a camping trip.","en","deepseek-r1","all-minilm","3","37293.3","2074.17","35219.11","260","234","494","9.620723966961299","9.5","The system answer is very close to the gold answer, but it could be more concise.","8.57","0.143","0.857","0.834","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"6","What does Bart do to impress the cool kids in “The Telltale Head”?","Cut off the head of Jebediah Springfield’s statue","Bart cuts off the head of Jebediah Springfield’s statue in ""The Telltale Head"" to impress the cool kids.","en","deepseek-r1","all-minilm","3","44770.28","2070.93","42699.34","279","302","581","9.501050507873936","8.5","Good effort, but the system answer is a bit too long and contains unnecessary words.","9.25","0.075","0.925","0.759","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"7","Who helps Bart fight Nelson in “Bart the General”?","Grandpa Abe and Herman","Grandpa and Herman help Bart form a small school army to fight Nelson in “Bart the General”.","en","deepseek-r1","all-minilm","3","33286.82","2057.25","31229.56","275","195","470","9.584962426726095","9.5","Correct except for the capitalization of 'Grandpa Abe'","8.76","0.124","0.876","0.684","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"8","What side job does Homer take at Christmas in the pilot episode?","Santa Claus at a mall","In ""Simpsons Roasting on an Open Fire,"" Homer takes a side job as a mall Santa at Christmas due to losing his bonus.","en","deepseek-r1","all-minilm","3","39778.5","2067.73","37710.75","285","254","539","9.502622025947268","9.5","System answer is close but not exact, missing 'as a mall Santa'","8.84","0.116","0.884","0.67","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"9","What compromising photo does Bart take in “Homer’s Night Out”?","A photo of Homer dancing with a dancer","In ""Homer's Night Out,"" Bart snaps a compromising photo of Homer at a party without specifying its exact content in the provided context.","en","deepseek-r1","all-minilm","3","46194.96","2058.46","44136.49","283","312","595","9.401308267376402","1.5","The system answer does not specify the content of the compromising photo, whereas the gold answer mentions Homer dancing with a dancer, which is an important detail.","8.58","0.142","0.858","0.729","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"10","Who actually commits the robbery in “Krusty Gets Busted”?","Sideshow Bob","Bob commits the robbery in ""Krusty Gets Busted,"" framing Krusty for it.","en","deepseek-r1","all-minilm","3","38460.44","2054.85","36405.58","293","245","538","9.633748134871956","2.5","The system answer is close but doesn't specifically identify Sideshow Bob as the perpetrator, only mentioning that Krusty was framed.","8.63","0.137","0.863","0.685","semantic","semantic","semantic","results_deepseek-r1_all_minilm_en_k3.csv"
"1","¿Quién es el ídolo de Lisa?","Bleeding Gums Murphy","No se menciona explícitamente el ídolo de Lisa en el contexto proporcionado.","es","deepseek-r1","all-minilm","3","106121.13","24.54","106096.57","344","817","1161","9.296707089962863","0.0","La respuesta no menciona explícitamente al ídolo de Lisa, Bleeding Gums Murphy es la respuesta correcta","7.65","0.235","0.765","0.742","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"2","¿Qué instrumento toca Lisa?","Saxofón","Lisa toca el saxofón en este episodio.","es","deepseek-r1","all-minilm","3","37942.51","2055.29","35887.21","341","240","581","9.71736395076048","9.5","La respuesta coincide con la correcta en cuanto a la información principal (el saxofón), pero se puede mejorar en términos de concisión y claridad.","7.87","0.213","0.787","0.681","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"3","¿Cómo se llama el perro de Bart?","Santa’s Little Helper","No se menciona en el contexto.","es","deepseek-r1","all-minilm","3","33964.11","2054.87","31909.23","346","201","547","9.70622398816478","0.0","La respuesta no se refiere al perro de Bart, Santa's Little Helper.","6.73","0.327","0.673","0.591","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"4","¿En qué trabaja Homer Simpson?","Inspector de seguridad en la planta nuclear","No hay información sobre el trabajo de Homer Simpson en este contexto.","es","deepseek-r1","all-minilm","3","41994.03","2049.98","39944.04","344","251","595","9.6563156080042","0.0","La respuesta del sistema fue incorrecta y no proporcionó información relevante sobre el trabajo de Homer Simpson.","7.83","0.217","0.783","0.599","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"5","¿En qué episodio Homer es confundido con Big Foot?","The Call of the Simpsons (S01E07)","La información sobre el episodio donde Homer es confundido con Big Foot no está presente en las fuentes proporcionadas.","es","deepseek-r1","all-minilm","3","35897.69","2057.72","33839.95","362","207","569","9.139328748887086","0.0","La respuesta no proporciona la información correcta sobre el episodio en el que Homer es confundido con Big Foot. La respuesta correcta es The Call of the Simpsons (S01E07)","7.74","0.226","0.774","0.74","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"6","¿Qué hace Bart para impresionar a los chicos populares en “The Telltale Head”?","Cortar la cabeza de la estatua de Jebediah Springfield","Corta la cabeza de la estatua de Jebediah Springfield para impresionar a los chicos populares.","es","deepseek-r1","all-minilm","3","39981.08","2066.26","37914.8","366","255","621","9.54919250792375","8.5","La respuesta es similar a la correcta, pero falta el contexto y la descripción de los motivos detrás de la acción.","8.23","0.177","0.823","0.811","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"7","¿Quién ayuda a Bart a enfrentarse a Nelson en “Bart the General”?","El abuelo Abe y Herman","El abuelo (Abe Simpson) y Herman ayudan a Bart para enfrentarse a Nelson en ""Bart the General"".","es","deepseek-r1","all-minilm","3","37554.42","2079.18","35475.23","362","233","595","9.616067486337508","9.5","La respuesta es muy similar a la correcta, solo falta un punto en la notación (Abe Simpson)","8.48","0.152","0.848","0.752","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"8","¿Qué trabajo extra toma Homer en Navidad en el episodio piloto?","Santa Claus en un centro comercial","No hay información sobre un trabajo extra de Homer en Navidad en el episodio Bart the Genius.","es","deepseek-r1","all-minilm","3","39044.89","2068.37","36976.51","365","255","620","9.893486299719381","0.0","La respuesta no menciona a Santa Claus en un centro comercial como trabajo extra de Homer en Navidad en el episodio piloto.","8.34","0.166","0.834","0.613","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"9","¿Qué fotografía comprometedora toma Bart en “Homer’s Night Out”?","Una foto de Homer bailando con una bailarina","Bart toma una fotografía comprometedora de Homer durante su noche fuera en una fiesta.","es","deepseek-r1","all-minilm","3","39483.53","2062.91","37420.61","370","251","621","9.560649894737244","2.5","La respuesta no coincide con la correcta. Aunque menciona que Bart toma una foto comprometedora, no describe qué hay en la foto","8.17","0.183","0.817","0.811","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"10","¿Quién realmente comete el robo en “Krusty Gets Busted”?","Sideshow Bob","Bob","es","deepseek-r1","all-minilm","3","21503.75","2055.66","19448.08","363","84","447","10.108352148707146","2.5","La respuesta no coincide con la correcta. Aunque Bob es un personaje importante en la historia, no es quien comete el robo en 'Krusty Gets Busted'. Sideshow Bob es el villano que se hace pasar por Krusty el Clown para cometer el delito.","6.43","0.357","0.643","0.648","semantic","semantic","semantic","results_deepseek-r1_all_minilm_es_k3.csv"
"1","Qui és l’ídol de la Lisa?","Bleeding Gums Murphy","Aquesta informació no es mencionada al context proporcionat.","ca","deepseek-r1","mxbai-embed-large","3","51209.95","58.25","51151.68","357","372","729","9.212602732562479","0.0","La resposta del sistema és incorrecta i no ofereix cap informació rellevant sobre l'ídol de la Lisa, mentre que Bleeding Gums Murphy és el personatge correcte.","7.74","0.226","0.774","0.711","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"2","Quin instrument toca la Lisa?","Saxòfon","El context no menciona quin instrument toca la Lisa explícitament.","ca","deepseek-r1","mxbai-embed-large","3","188543.86","2118.79","186425.06","355","1580","1935","8.995974371500706","2.5","La resposta del sistema és incorrecta perquè no relaciona la Lisa amb cap instrument, quan en realitat es tracta d'un Saxòfon. Només un petit punt per intentar connectar les idees.","8.42","0.158","0.842","0.701","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"3","Com es diu el gos del Bart?","Santa’s Little Helper","No està indicat al context.","ca","deepseek-r1","mxbai-embed-large","3","38129.64","2098.04","36031.59","359","237","596","9.390246372488393","0.0","La resposta del sistema no és vàlida, però Santa's Little Helper és la resposta correcta.","8.0","0.2","0.8","0.728","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"4","En què treballa el Homer Simpson?","Inspector de seguretat a la central nuclear","Aquesta informació no està continguda al context.","ca","deepseek-r1","mxbai-embed-large","3","38737.14","2093.4","36643.73","361","240","601","9.285280397825982","1.5","La resposta no és correcta i tampoc ofereix cap informació rellevant sobre què treballa Homer Simpson.","7.83","0.217","0.783","0.725","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"5","En quin episodi confonen el Homer amb el Bigfoot?","The Call of the Simpsons (S01E07)","Aquesta confusió es descriu a l'episodi ""The Call of the Simpsons"".","ca","deepseek-r1","mxbai-embed-large","3","38246.98","2097.34","36149.63","354","241","595","9.502587004395286","9.5","The answer is mostly correct, but the S01E07 format is not explicitly mentioned in the question. A slight deduction for that.","9.25","0.075","0.925","0.851","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"6","Què fa el Bart per impressionar els nois populars a “The Telltale Head”?","Tallar el cap de l’estàtua de Jebediah Springfield","En Bart talla el cap de l’estàtua de Jebediah Springfield per impressionar els populars a ""The Telltale Head"".","ca","deepseek-r1","mxbai-embed-large","3","33449.47","2092.18","31357.28","373","198","571","9.623311463029562","9.5","La resposta és correcta, però no justifica els motius pel qual Bart tallà el cap de l'estàtua.","9.41","0.059","0.941","0.858","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"7","Qui ajuda el Bart a enfrontar-se amb el Nelson a “Bart the General”?","L’avi Abe i en Herman","L'avi i en Herman ajuden a Bart a enfrontar-se amb Nelson.","ca","deepseek-r1","mxbai-embed-large","3","39926.91","2094.7","37832.2","370","252","622","9.317859750326026","7.5","La resposta és parcialment correcta, ja que es menciona l'avi i en Herman, però falta esmentar el nom de l'avi Abe","8.9","0.11","0.89","0.819","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"8","Quin treball extra fa el Homer per Nadal a l’episodi pilot?","Pare Noel en un centre comercial","No és mencionat cap treball extra específic per Nadal en l'episodi pilot al context.","ca","deepseek-r1","mxbai-embed-large","3","50946.34","2095.0","48851.33","370","350","720","9.192883961876637","2.5","La resposta del sistema no és correcta però es pot considerar una oposició plausible, ja que no s'esmenta cap treball extra específic per Nadal en l'episodi pilot.","7.6","0.24","0.76","0.79","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"9","Quina foto comprometedora fa el Bart a “Homer’s Night Out”?","Una foto del Homer ballant amb una ballarina","Sí, al episodi ""Homer's Night Out"", Bart fa una foto comprometedora d'Homer mentre participa en actes de festa equivocats.","ca","deepseek-r1","mxbai-embed-large","3","35966.86","2108.27","33858.58","366","229","595","9.939772013228943","2.5","La resposta és aproximada però no reflecteix la foto comprometedora exacta, que és el ballant amb una ballarina.","9.66","0.034","0.966","0.869","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"10","Qui comet realment el robatori a “Krusty Gets Busted”?","En Sideshow Bob","L' ajudant de Krusty, en Bob, va cometre realment el robatori.","ca","deepseek-r1","mxbai-embed-large","3","46564.4","2097.1","44467.29","373","329","702","9.778495934825118","2.5","The correct answer is En Sideshow Bob. The system's response incorrectly identified the thief as En Bob (the assistant), when it should have said En Sideshow Bob.","9.06","0.094","0.906","0.867","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_ca_k3.csv"
"1","Who is Lisa’s idol?","Bleeding Gums Murphy","Bleeding Gums Murphy is Lisa’s source of comfort through music.","en","deepseek-r1","mxbai-embed-large","3","147604.92","58.2","147546.71","274","1259","1533","9.190493305254135","2.5","Partial credit for mentioning Bleeding Gums Murphy, but the answer should have been a single name.","8.61","0.139","0.861","0.767","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"2","What instrument does Lisa play?","Saxophone","Lisa Simpson plays the saxophone, as shown when she takes lessons from Bleeding Gums Murphy in Season 1 Episode 6.","en","deepseek-r1","mxbai-embed-large","3","28552.13","2122.06","26430.07","261","160","421","10.087611600271657","9.5","Answer is almost identical to the gold answer, only providing additional context about the episode and character.","8.87","0.113","0.887","0.734","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"3","What is the name of Bart’s dog?","Santa’s Little Helper","Bart's dog is not mentioned or named in any of the provided episodes' context.","en","deepseek-r1","mxbai-embed-large","3","42489.04","2101.55","40387.48","273","298","571","9.989989393681899","8.5","Answer is correct and concise, but doesn't explicitly state the name of Bart's dog as 'Santa's Little Helper'.","8.07","0.193","0.807","0.73","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"4","What is Homer Simpson’s job?","Safety inspector at the nuclear plant","Homer Simpson works as a nuclear safety inspector according to the given context.","en","deepseek-r1","mxbai-embed-large","3","32923.78","2083.29","30840.49","271","197","468","9.707086879526395","8.5","The system answer is close but not entirely accurate, 'nuclear safety inspector' is too specific and the gold answer only mentions 'safety inspector at the nuclear plant'.","8.65","0.135","0.865","0.727","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"5","In which episode is Homer mistaken for Bigfoot?","The Call of the Simpsons (S01E07)","In The Call of the Simpsons (Season 1 Episode 7), Homer is mistaken for Bigfoot.","en","deepseek-r1","mxbai-embed-large","3","32013.2","2097.3","29915.88","280","186","466","9.598440668291742","8.5","Close but not exact match on episode title (should be S01E07 instead of Season 1 Episode 7)","9.19","0.081","0.919","0.919","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"6","What does Bart do to impress the cool kids in “The Telltale Head”?","Cut off the head of Jebediah Springfield’s statue","Bart cuts off the head of Jebediah Springfield’s statue in ""The Telltale Head"" to impress the cool kids.","en","deepseek-r1","mxbai-embed-large","3","40121.24","2084.98","38036.24","279","261","540","9.491874224680256","9.5","System answer is close to the gold answer, but it's not exact. The system answer includes unnecessary words.","8.93","0.107","0.893","0.81","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"7","Who helps Bart fight Nelson in “Bart the General”?","Grandpa Abe and Herman","Grandpa and Herman help Bart fight Nelson in ""Bart the General"".","en","deepseek-r1","mxbai-embed-large","3","38049.83","2106.04","35943.78","274","235","509","9.240429208735637","7.5","Close but not exact on the character names","8.72","0.128","0.872","0.765","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"8","What side job does Homer take at Christmas in the pilot episode?","Santa Claus at a mall","Homer takes a part-time job as a mall Santa for the holidays in the pilot episode.","en","deepseek-r1","mxbai-embed-large","3","26817.97","2088.59","24729.37","295","135","430","9.547868333368024","9.5","Close, but 'Santa Claus' should be in quotes since it's the job title.","8.7","0.13","0.87","0.774","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"9","What compromising photo does Bart take in “Homer’s Night Out”?","A photo of Homer dancing with a dancer","In ""Homer's Night Out"", Bart takes a compromising photo of Homer at the party.","en","deepseek-r1","mxbai-embed-large","3","124370.4","2096.2","122274.18","285","1003","1288","8.98111658096331","6.5","The student's answer is close, but not entirely accurate. The photo taken by Bart shows Homer dancing with a dancer, which is the correct detail.","8.98","0.102","0.898","0.812","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"10","Who actually commits the robbery in “Krusty Gets Busted”?","Sideshow Bob","Sideshow Bob commits the robbery in “Krusty Gets Busted” after disguising himself as a sidekick named Bob.","en","deepseek-r1","mxbai-embed-large","3","45274.12","2086.71","43187.4","280","308","588","9.428592402379017","8.5","Answer is mostly correct, but description is not necessary and doesn't add much value.","8.7","0.13","0.87","0.801","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_en_k3.csv"
"1","¿Quién es el ídolo de Lisa?","Bleeding Gums Murphy","Bleeding Gums Murphy es el ídolo de Lisa","es","deepseek-r1","mxbai-embed-large","3","25879.01","60.44","25818.56","338","100","438","10.077217789808364","9.5","La respuesta es correcta, pero falta la justificación explícita para Lisa.","9.02","0.098","0.902","0.795","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"2","¿Qué instrumento toca Lisa?","Saxofón","Lisa esboza una sonrisa y parece conectarse con la música del saxofón de Bleeding Gums Murphy.","es","deepseek-r1","mxbai-embed-large","3","34526.5","2098.29","32428.2","345","214","559","9.897691402793559","8.5","La respuesta del sistema es correcta en cuanto a que Lisa se conecta con la música del saxofón de Bleeding Gums Murphy, pero no describe directamente el instrumento que toca Lisa.","9.15","0.085","0.915","0.709","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"3","¿Cómo se llama el perro de Bart?","Santa’s Little Helper","No está especificado en el contexto.","es","deepseek-r1","mxbai-embed-large","3","40243.51","2108.51","38134.98","353","269","622","9.84684819959715","0.0","No se proporcionó una respuesta válida","7.98","0.202","0.798","0.741","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"4","¿En qué trabaja Homer Simpson?","Inspector de seguridad en la planta nuclear","Según el contexto, Homer Simpson trabaja como Santa Claus.","es","deepseek-r1","mxbai-embed-large","3","53846.55","2092.3","51754.24","349","378","727","9.231589140163683","1.5","La respuesta no es correcta y no proporciona una solución lógica que relacione a Homer Simpson con la profesión de Inspector de seguridad en la planta nuclear. La respuesta del sistema es confusa y no está basada en hechos conocidos sobre el personaje.","9.29","0.071","0.929","0.794","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"5","¿En qué episodio Homer es confundido con Big Foot?","The Call of the Simpsons (S01E07)","No está en el contexto.","es","deepseek-r1","mxbai-embed-large","3","33082.02","2097.88","30984.12","356","201","557","9.9538012883725","0.0","No hay evidencia en la respuesta de que Homer sea confundido con Big Foot, no menciona el episodio adecuado.","8.27","0.173","0.827","0.862","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"6","¿Qué hace Bart para impresionar a los chicos populares en “The Telltale Head”?","Cortar la cabeza de la estatua de Jebediah Springfield","Bart corta la cabeza de la estatua de Jebediah Springfield para impresionar a los chicos populares en ""The Telltale Head"".","es","deepseek-r1","mxbai-embed-large","3","49794.28","2099.88","47694.39","366","360","726","9.761366185626994","9.5","La respuesta del sistema es muy similar a la correcta, solo que incluye algunas palabras innecesarias, pero en general captura el sentido de la acción de Bart.","9.52","0.048","0.952","0.878","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"7","¿Quién ayuda a Bart a enfrentarse a Nelson en “Bart the General”?","El abuelo Abe y Herman","El abuelo (Abe Simpson) y Herman ayudan a Bart a enfrentarse a Nelson en ""Bart the General"".","es","deepseek-r1","mxbai-embed-large","3","40866.27","2098.32","38767.94","362","259","621","9.252753652532542","9.5","La respuesta incluye los personajes correctos (Abe Simpson y Herman), aunque no se escribió exactamente como en la respuesta correcta.","9.38","0.062","0.938","0.872","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"8","¿Qué trabajo extra toma Homer en Navidad en el episodio piloto?","Santa Claus en un centro comercial","En Navidad toma un trabajo extra como Santa Claus en el episodio piloto.","es","deepseek-r1","mxbai-embed-large","3","36903.69","2084.37","34819.31","359","238","597","9.903260169475821","4.5","La respuesta es cercana a la correcta, pero no describe exactamente el trabajo extra que Homer toma en Navidad en el episodio piloto.","8.68","0.132","0.868","0.795","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
"9","¿Qué fotografía comprometedora toma Bart en “Homer’s Night Out”?","Una foto de Homer bailando con una bailarina","Bart toma una foto de Homer y Maggie en un momento muy íntimo durante la fiesta, mostrando a Homer sin ropa.","es","deepseek-r1","mxbai-embed-large","3","30215.23","2117.76","28097.46","359","174","533","10.06763302790237","1.0","La respuesta del sistema no coincide con la correcta, ya que en la escena mencionada Bart toma una foto de Homer bailando con una bailarina, no una imagen íntima como se describe.","9.29","0.071","0.929","0.88","semantic","semantic","semantic","results_deepseek-r1_mxbai_embed_large_es_k3.csv"
